client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88	common_voice_th_42696553.mp3	018d4271a9c403ae940d2dd6d2d6868586bc3f368d07085d4286f824df4f9ea9	ฝันดีบ๊วบ		0	0	twenties		Thai,ไทย,Thailand		th	
2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88	common_voice_th_42696554.mp3	01a4e167310aa5de427fe69c8c0da9e8625c0175389e73697b0fb0407ca37f6e	คนจนเขากินอะไรกัน แกงแกะ แกะจากถุงพลาสติก		0	0	twenties		Thai,ไทย,Thailand		th	
2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88	common_voice_th_42696555.mp3	0159ea91d2a5ed3f7c00d81b51f4e5a5d699407fd14aaeb1051ec0faea9f277f	เหตุเป็นประเด็นเกี่ยวการเมือง		0	0	twenties		Thai,ไทย,Thailand		th	
2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88	common_voice_th_42696556.mp3	015efefa13304a93361b01ffb18956e1402ac732aa81d4e8702e2c1f0d3aca3e	เลี้ยงในเมืองหิมะสิครับ ไม่ไกล		0	0	twenties		Thai,ไทย,Thailand		th	
2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88	common_voice_th_42696557.mp3	00920616119f7a18f368125562f6a3d77f7af08e5087691b5fbcc93b00a98f39	ไม่หาย แต่ถูกก๊อปไปแล้ว?		0	0	twenties		Thai,ไทย,Thailand		th	
2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88	common_voice_th_42696558.mp3	0064e7f8631f502bca7dbafdad907faa003bd98e7e0d8a217343fb3bb5e674d7	ทำไปก่อนเลยฮะ เดี๋ยวช่วยเติม		0	0	twenties		Thai,ไทย,Thailand		th	
2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88	common_voice_th_42696559.mp3	00fe3d126ad37554ec041ecf6cc3e4a8da2d832531a04f3d1dd2bafd1ba67309	รัก แต่พอคนรีวิวห่วยปุ๊บขู่ฟ้องทันที		0	0	twenties		Thai,ไทย,Thailand		th	
2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88	common_voice_th_42696560.mp3	005b1ba4d06598ef7b0f7464068135e3ed9ed971895c884d1390dce2a54b32fa	พระเจ้าจอร์จมันยอดมาก		0	0	twenties		Thai,ไทย,Thailand		th	
2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88	common_voice_th_42696561.mp3	01cd913b63e1c1a0b63f0cccf4abbfdf51135cc3bf418cd466b0f3f4ec552d47	สืบคนพบ		0	0	twenties		Thai,ไทย,Thailand		th	
2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88	common_voice_th_42696562.mp3	00b29d837ab55137fda11455f5f34e254e345913a6af4ba68f3593fd1cdb38ef	ดาวิเด โดริโก้		0	0	twenties		Thai,ไทย,Thailand		th	
2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88	common_voice_th_42696563.mp3	01be8f598c494b70e947aa33d4095ccd11b25bb73fb94c32baba498bf8685552	ตรงก่อนถึงเดอะไนน์ เดือนละพันห้า จองออนไลน์ได้เลย		0	0	twenties		Thai,ไทย,Thailand		th	
2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88	common_voice_th_42696564.mp3	00ac4fb1c33eb467072e594e4c8b5296266dd7ad12954d77b2f5baee799113e4	พวกหมูและวัววิ่งไปทุกที่		0	0	twenties		Thai,ไทย,Thailand		th	
2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88	common_voice_th_42696565.mp3	0122e68be073e4bc6f3ee3f407195eb69c7f2f1ddd7c2cb5de9415ff1f849a15	รวยอะ แบ่งมามั่ง		0	0	twenties		Thai,ไทย,Thailand		th	
2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88	common_voice_th_42696566.mp3	00a72482276e717f6abaac2a290159663fcb2f7cb316460f91ff99f11604bf33	ขอลงไปเป่าเครื่องใหญ่เลย อันนั้นมันเปลี่ยนหลอดตรงปลายตลอด		0	0	twenties		Thai,ไทย,Thailand		th	
2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88	common_voice_th_42696567.mp3	00859ace3bb47070eb20372b61f6bf4c90cbec455148e31810f54e2712ae4f6a	สิ่งมีชีวิตผอมแห้งที่ยากจนทั้งหมด แต่นมัสการพระองค์		0	0	twenties		Thai,ไทย,Thailand		th	
19681d569b6185a8b9bc8a2c8685d563538f332b703bb236bc7cf56b3ee247c85964b35c03c590c762a9ebdb94e5066d33a6956eb7264ace824689b0d252e874	common_voice_th_42696568.mp3	00c32a84089d9ea8edac81264deed65a812ad9e3a1b8aade9b63228e88a85d67	เขาดูอีกครั้งเกี่ยวกับห้อง		0	0	thirties				th	
